user_id,name,qualifications,room_id,schedule,max_participants,description,course_id
430112d4d154a44f,Math couse for begginers,Math,e9c8f4da22c45c77,Mon 9-12,25,Easy math course,f61985b87284171a
b365cd8f07cd0520,Advanced Python,Computer Science,80c5bde9767737ee,Wed 9-12,25,Advanced Python programming course,dc295cc4dd09d5b1
b365cd8f07cd0520,Advanced Java,Computer Science,444ee2caac85f904,Tue 9-12,25,Advanced Java course,39104442b2660b56
b365cd8f07cd0520,Philosophy for Beginners,Philosophy,e9c8f4da22c45c77,Wed 13-15,25,Philosophy for Beginners,74527542b2660b56
14d099c161cf3bea,Introduction to Data Science,Data Science,444ee2caac85f904,Mon 14-17,30,Beginner-friendly Data Science course,aa1285c87284171a
14d099c161cf3bea,Web Development with JavaScript,Computer Science,a3cfc82a59a8ea4b,Fri 10-13,25,Learn modern web development with JavaScript,bb365cc4dd09d5b1
928930d566c50b2d,Machine Learning Basics,Artificial Intelligence,80c5bde9767737ee,Tue 14-17,35,Introduction to Machine Learning concepts and applications,dd39104442b2660b
928930d566c50b2d,Digital Marketing 101,Marketing,8386436599a51b1b,Wed 16-18,40,Learn the basics of digital marketing,ee74527542b2660b
96a5850368da614c,Introduction to Cybersecurity,Computer Science,9a54aa5ee1167151,Mon 17-18,30,Fundamentals of cybersecurity and online safety,ff1285c87284171a
96a5850368da614c,Graphic Design with Photoshop,Arts,1f98cf81be72eb01,Fri 13-15,20,Learn the basics of Photoshop for design,gg365cc4dd09d5b1
5018f42297a6c369,Public Speaking Essentials,Communication,28ffe65dd0b5e27b,Tue 9-10,25,Develop confidence and techniques for public speaking,hh295cc4dd09d5b1
5018f42297a6c369,SQL for Beginners,Data Science,1f98cf81be72eb01,Wed 9-12,35,Introduction to SQL databases and queries,ii39104442b2660b
430112d4d154a44f,Introduction to Blockchain,Finance,e9c8f4da22c45c77,Thu 12-14,40,Understand blockchain technology and its applications,jj74527542b2660b
430112d4d154a44f,Python for Data Analysis,Data Science,f41f179a18621fd4,Fri 9-12,30,Learn how to analyze data using Python and Pandas,kk365cc4dd09d5b1
96a5850368da614c,Game Development with Unity,Computer Science,5618d4f653538d49,Mon 10-13,20,Create your first game using Unity,ll295cc4dd09d5b1
14d099c161cf3bea,Introduction to Artificial Intelligence,Artificial Intelligence,80b893bbfed5a908,Tue 14-17,35,Learn the basics of AI and its real-world applications,mm39104442b2660b
14d099c161cf3bea,Ethical Hacking,Computer Science,80b893bbfed5a908,Thu 9-12,30,Learn ethical hacking techniques and cybersecurity fundamentals,oo365cc4dd09d5b1
